,date,trip_count,temperature_max_c,temperature_min_c,temperature_mean_c,precipitation_mm,wind_speed_max_ms,humidity_percent,data_source,month,trip_count_7day_mean,trip_count_detrended,bike_rides_daily,avgTemp,start_station_name,season
22,2024-01-23,1902,4.1,-1.3,1.2,2.0,5.4,70,Open-Meteo Historical API,1,1586.142857142857,315.8571428571429,1902,1.2,Michigan Ave & Oak St,Winter
186,2024-07-05,2544,31.6,21.4,25.6,12.3,5.5,84,Open-Meteo Historical API,7,3387.5714285714284,-843.5714285714284,2544,25.6,Millennium Park,Summer
292,2024-10-19,3728,21.4,5.4,12.7,0.0,3.1,60,Open-Meteo Historical API,10,3710.571428571429,17.42857142857156,3728,12.7,Streeter Dr & Grand Ave,Fall
5,2024-01-06,1184,3.1,-4.9,-0.6,11.5,8.4,84,Open-Meteo Historical API,1,1643.428571428571,-459.4285714285714,1184,-0.6,Streeter Dr & Grand Ave,Winter
91,2024-04-01,2222,11.7,4.5,8.2,2.5,4.0,77,Open-Meteo Historical API,4,1768.7142857142858,453.2857142857142,2222,8.2,Columbus Dr & Randolph St,Spring
332,2024-11-28,459,11.5,5.3,7.1,20.9,5.8,84,Open-Meteo Historical API,11,1784.0,-1325.0,459,7.1,Buckingham Fountain,Fall
362,2024-12-28,619,7.7,1.8,4.5,4.7,2.2,95,Open-Meteo Historical API,12,1173.2857142857142,-554.2857142857142,619,4.5,Shedd Aquarium,Winter
153,2024-06-02,3764,27.5,13.7,20.8,0.0,5.9,58,Open-Meteo Historical API,6,3870.285714285714,-106.28571428571422,3764,20.8,Streeter Dr & Grand Ave,Summer
199,2024-07-18,3941,30.8,21.4,25.7,0.8,3.6,69,Open-Meteo Historical API,7,3714.857142857142,226.14285714285737,3941,25.7,Columbus Dr & Randolph St,Summer
168,2024-06-17,3186,28.0,16.0,22.2,0.0,8.1,73,Open-Meteo Historical API,6,3623.714285714286,-437.7142857142858,3186,22.2,Navy Pier,Summer
319,2024-11-15,3619,14.8,3.7,8.5,0.0,3.8,41,Open-Meteo Historical API,11,3136.4285714285716,482.5714285714285,3619,8.5,Navy Pier,Fall
321,2024-11-17,2625,18.2,6.9,11.8,0.0,3.7,35,Open-Meteo Historical API,11,3219.0,-594.0,2625,11.8,Canal St & Adams St,Fall
330,2024-11-26,2480,14.7,7.3,11.0,2.8,4.4,74,Open-Meteo Historical API,11,2076.714285714286,403.2857142857142,2480,11.0,Streeter Dr & Grand Ave,Fall
130,2024-05-10,2141,14.6,9.5,10.6,9.7,6.1,81,Open-Meteo Historical API,5,2918.285714285714,-777.2857142857142,2141,10.6,Clinton St & Madison St,Spring
195,2024-07-14,3137,31.5,21.7,26.4,0.5,5.1,79,Open-Meteo Historical API,7,3491.8571428571427,-354.85714285714266,3137,26.4,Columbus Dr & Randolph St,Summer
325,2024-11-21,1353,12.0,5.2,9.0,43.8,4.6,90,Open-Meteo Historical API,11,2555.5714285714284,-1202.5714285714284,1353,9.0,Millennium Park,Fall
243,2024-08-31,3007,26.1,17.1,21.8,0.5,4.7,81,Open-Meteo Historical API,8,3335.8571428571427,-328.85714285714266,3007,21.8,Millennium Park,Summer
21,2024-01-22,1712,3.4,-7.1,-2.4,0.0,5.0,56,Open-Meteo Historical API,1,1474.2857142857142,237.71428571428575,1712,-2.4,Columbus Dr & Randolph St,Winter
253,2024-09-10,4178,26.1,13.6,19.6,0.0,3.5,57,Open-Meteo Historical API,9,4006.714285714286,171.28571428571422,4178,19.6,Navy Pier,Fall
355,2024-12-21,876,0.8,-6.2,-2.4,3.4,6.4,74,Open-Meteo Historical API,12,1459.7142857142858,-583.7142857142858,876,-2.4,Streeter Dr & Grand Ave,Winter
209,2024-07-28,3351,31.5,17.5,24.4,0.0,5.4,60,Open-Meteo Historical API,7,3865.714285714286,-514.7142857142858,3351,24.4,Clinton St & Madison St,Summer
181,2024-06-30,2572,32.9,22.4,26.2,26.7,6.2,83,Open-Meteo Historical API,6,3615.0,-1043.0,2572,26.2,Columbus Dr & Randolph St,Summer
171,2024-06-20,3919,33.4,20.0,26.3,0.0,6.0,61,Open-Meteo Historical API,6,3618.142857142858,300.85714285714266,3919,26.3,Theater on the Lake,Summer
155,2024-06-04,3680,26.0,16.0,21.0,0.0,4.8,75,Open-Meteo Historical API,6,3877.571428571429,-197.57142857142844,3680,21.0,Streeter Dr & Grand Ave,Summer
162,2024-06-11,3704,23.4,13.2,18.9,0.4,2.8,66,Open-Meteo Historical API,6,3804.142857142858,-100.14285714285734,3704,18.9,Theater on the Lake,Summer
123,2024-05-03,3487,17.2,9.3,13.7,0.0,5.2,71,Open-Meteo Historical API,5,2888.4285714285716,598.5714285714284,3487,13.7,Clinton St & Madison St,Spring
32,2024-02-02,1850,5.7,1.6,3.6,7.2,5.6,85,Open-Meteo Historical API,2,1997.0,-147.0,1850,3.6,Canal St & Adams St,Winter
113,2024-04-23,2997,14.8,2.7,9.1,0.0,7.6,62,Open-Meteo Historical API,4,2943.714285714286,53.28571428571422,2997,9.1,Navy Pier,Spring
24,2024-01-25,1990,11.4,5.8,9.2,6.5,5.9,96,Open-Meteo Historical API,1,1715.571428571429,274.42857142857133,1990,9.2,Michigan Ave & Oak St,Winter
301,2024-10-28,3415,16.3,3.1,9.3,0.0,4.1,61,Open-Meteo Historical API,10,3785.571428571429,-370.5714285714285,3415,9.3,Buckingham Fountain,Fall
92,2024-04-02,964,8.9,6.0,7.1,17.6,6.2,92,Open-Meteo Historical API,4,1778.142857142857,-814.1428571428571,964,7.1,Clinton St & Madison St,Spring
213,2024-08-01,3954,35.3,20.7,27.5,0.2,5.7,70,Open-Meteo Historical API,8,3494.4285714285716,459.5714285714285,3954,27.5,Buckingham Fountain,Summer
327,2024-11-23,2542,9.0,3.0,5.9,0.9,7.2,77,Open-Meteo Historical API,11,2382.714285714286,159.28571428571422,2542,5.9,Navy Pier,Fall
258,2024-09-15,3547,27.8,15.7,21.2,0.0,5.0,70,Open-Meteo Historical API,9,4143.857142857143,-596.8571428571431,3547,21.2,Streeter Dr & Grand Ave,Fall
26,2024-01-27,2139,8.5,2.0,5.2,0.0,3.6,84,Open-Meteo Historical API,1,1786.2857142857142,352.7142857142858,2139,5.2,Navy Pier,Winter
93,2024-04-03,645,6.8,4.3,5.7,26.3,13.2,89,Open-Meteo Historical API,4,1817.2857142857144,-1172.2857142857142,645,5.7,Columbus Dr & Randolph St,Spring
16,2024-01-17,1160,-4.0,-9.0,-6.4,0.0,6.7,52,Open-Meteo Historical API,1,1148.7142857142858,11.28571428571422,1160,-6.4,Streeter Dr & Grand Ave,Winter
333,2024-11-29,1262,7.9,1.5,4.1,0.4,4.9,71,Open-Meteo Historical API,11,1688.0,-426.0,1262,4.1,Shedd Aquarium,Fall
132,2024-05-12,1563,13.6,8.2,10.4,5.7,3.5,80,Open-Meteo Historical API,5,2650.5714285714284,-1087.5714285714284,1563,10.4,Canal St & Adams St,Spring
167,2024-06-16,2925,24.9,14.5,19.2,0.0,4.8,60,Open-Meteo Historical API,6,3636.0,-711.0,2925,19.2,Clinton St & Madison St,Summer
38,2024-02-08,2459,9.8,-3.2,2.3,0.0,3.0,69,Open-Meteo Historical API,2,2298.285714285714,160.71428571428578,2459,2.3,Theater on the Lake,Winter
86,2024-03-27,2178,10.9,4.6,7.5,0.3,4.1,80,Open-Meteo Historical API,3,2067.5714285714284,110.42857142857156,2178,7.5,Shedd Aquarium,Spring
317,2024-11-13,3136,9.4,1.5,5.4,0.0,4.1,42,Open-Meteo Historical API,11,3100.5714285714284,35.42857142857156,3136,5.4,Michigan Ave & Oak St,Fall
30,2024-01-31,2167,4.3,-1.9,2.0,0.2,3.6,74,Open-Meteo Historical API,1,1865.428571428571,301.57142857142867,2167,2.0,Millennium Park,Winter
73,2024-03-14,3166,21.0,3.0,11.5,0.0,3.9,69,Open-Meteo Historical API,3,2678.0,488.0,3166,11.5,Michigan Ave & Oak St,Spring
323,2024-11-19,3432,14.8,6.1,11.0,0.0,3.9,50,Open-Meteo Historical API,11,2705.4285714285716,726.5714285714284,3432,11.0,Streeter Dr & Grand Ave,Fall
262,2024-09-19,4527,30.3,16.2,23.0,0.0,4.8,59,Open-Meteo Historical API,9,4241.0,286.0,4527,23.0,Millennium Park,Fall
55,2024-02-25,1439,3.5,-6.9,-2.2,0.0,4.5,56,Open-Meteo Historical API,2,1890.0,-451.0,1439,-2.2,Theater on the Lake,Winter
47,2024-02-17,1008,2.2,-4.2,-0.7,5.6,6.0,71,Open-Meteo Historical API,2,1630.2857142857142,-622.2857142857142,1008,-0.7,Millennium Park,Winter
329,2024-11-25,2972,10.5,3.1,6.8,0.0,3.3,68,Open-Meteo Historical API,11,2138.285714285714,833.7142857142858,2972,6.8,Streeter Dr & Grand Ave,Fall
246,2024-09-03,3645,23.1,12.4,17.9,0.0,4.4,53,Open-Meteo Historical API,9,3544.714285714286,100.28571428571422,3645,17.9,Canal St & Adams St,Fall
150,2024-05-30,3724,21.5,14.3,17.6,4.3,5.8,67,Open-Meteo Historical API,5,3546.0,178.0,3724,17.6,Clinton St & Madison St,Spring
164,2024-06-13,4005,28.3,13.6,21.5,0.0,8.3,68,Open-Meteo Historical API,6,3655.857142857142,349.14285714285734,4005,21.5,Shedd Aquarium,Summer
245,2024-09-02,3039,26.2,17.6,21.8,0.0,5.3,58,Open-Meteo Historical API,9,3417.1428571428573,-378.14285714285734,3039,21.8,Canal St & Adams St,Fall
121,2024-05-01,3305,24.3,10.0,14.9,1.5,5.6,80,Open-Meteo Historical API,5,3211.8571428571427,93.14285714285734,3305,14.9,Millennium Park,Spring
223,2024-08-11,3352,27.5,18.8,23.1,0.1,5.2,64,Open-Meteo Historical API,8,3378.0,-26.0,3352,23.1,Columbus Dr & Randolph St,Summer
225,2024-08-13,3999,27.5,16.4,22.0,0.0,3.4,62,Open-Meteo Historical API,8,3802.428571428571,196.57142857142844,3999,22.0,Buckingham Fountain,Summer
177,2024-06-26,3590,34.7,23.3,27.9,0.6,7.3,55,Open-Meteo Historical API,6,3617.285714285714,-27.28571428571422,3590,27.9,Columbus Dr & Randolph St,Summer
260,2024-09-17,4331,27.3,14.8,20.3,0.0,4.0,77,Open-Meteo Historical API,9,4174.571428571428,156.42857142857156,4331,20.3,Streeter Dr & Grand Ave,Fall
237,2024-08-25,3098,30.5,16.3,23.2,0.2,4.8,66,Open-Meteo Historical API,8,3692.857142857142,-594.8571428571427,3098,23.2,Buckingham Fountain,Summer
201,2024-07-20,3688,29.0,17.6,24.0,1.5,4.8,68,Open-Meteo Historical API,7,3649.0,39.0,3688,24.0,Buckingham Fountain,Summer
255,2024-09-12,4267,26.5,14.8,19.9,0.0,4.4,77,Open-Meteo Historical API,9,4169.0,98.0,4267,19.9,Canal St & Adams St,Fall
10,2024-01-11,2420,7.9,0.2,4.6,0.0,6.3,64,Open-Meteo Historical API,1,1879.428571428571,540.5714285714287,2420,4.6,Clinton St & Madison St,Winter
99,2024-04-09,3205,23.3,4.9,13.7,0.0,4.9,64,Open-Meteo Historical API,4,2581.8571428571427,623.1428571428573,3205,13.7,Navy Pier,Spring
363,2024-12-29,1355,14.8,5.5,9.7,4.0,6.5,92,Open-Meteo Historical API,12,1305.1666666666667,49.83333333333326,1355,9.7,Columbus Dr & Randolph St,Winter
207,2024-07-26,4250,29.5,18.1,23.7,0.0,5.3,51,Open-Meteo Historical API,7,3755.285714285714,494.7142857142858,4250,23.7,Clinton St & Madison St,Summer
214,2024-08-02,3437,33.5,23.5,27.1,5.6,7.4,77,Open-Meteo Historical API,8,3499.0,-62.0,3437,27.1,Streeter Dr & Grand Ave,Summer
264,2024-09-21,4523,26.7,15.4,20.1,0.0,5.0,65,Open-Meteo Historical API,9,4144.571428571428,378.4285714285715,4523,20.1,Navy Pier,Fall
158,2024-06-07,4410,28.2,18.2,22.8,1.3,6.1,67,Open-Meteo Historical API,6,3837.714285714286,572.2857142857142,4410,22.8,Michigan Ave & Oak St,Summer
188,2024-07-07,2845,32.4,23.3,27.7,1.2,3.5,75,Open-Meteo Historical API,7,3390.5714285714284,-545.5714285714284,2845,27.7,Buckingham Fountain,Summer
40,2024-02-10,2504,15.8,1.1,7.9,0.1,4.9,84,Open-Meteo Historical API,2,2122.285714285714,381.7142857142858,2504,7.9,Columbus Dr & Randolph St,Winter
287,2024-10-14,3095,19.9,8.6,13.4,0.1,10.0,68,Open-Meteo Historical API,10,3538.714285714286,-443.7142857142858,3095,13.4,Navy Pier,Fall
128,2024-05-08,3319,30.5,15.6,22.7,0.3,6.9,64,Open-Meteo Historical API,5,2843.8571428571427,475.14285714285734,3319,22.7,Canal St & Adams St,Spring
57,2024-02-27,1957,13.1,-0.1,7.2,3.9,8.6,85,Open-Meteo Historical API,2,1922.7142857142856,34.28571428571422,1957,7.2,Columbus Dr & Randolph St,Winter
31,2024-02-01,2209,8.8,-3.3,2.3,0.0,5.8,81,Open-Meteo Historical API,2,2000.142857142857,208.8571428571429,2209,2.3,Buckingham Fountain,Winter
104,2024-04-14,3681,18.5,6.1,13.1,0.9,6.7,59,Open-Meteo Historical API,4,2757.5714285714284,923.4285714285716,3681,13.1,Millennium Park,Spring
84,2024-03-25,2329,9.7,-1.0,4.0,0.0,6.2,53,Open-Meteo Historical API,3,1838.857142857143,490.1428571428571,2329,4.0,Clinton St & Madison St,Spring
347,2024-12-13,2428,0.3,-3.3,-2.0,0.0,3.4,52,Open-Meteo Historical API,12,1957.428571428571,470.5714285714286,2428,-2.0,Buckingham Fountain,Winter
356,2024-12-22,661,-6.6,-11.3,-8.7,0.0,4.1,59,Open-Meteo Historical API,12,1174.571428571429,-513.5714285714287,661,-8.7,Clinton St & Madison St,Winter
232,2024-08-20,3962,22.8,16.8,19.3,0.2,5.8,60,Open-Meteo Historical API,8,3580.0,382.0,3962,19.3,Michigan Ave & Oak St,Summer
133,2024-05-13,2916,19.0,5.4,12.5,0.3,6.2,80,Open-Meteo Historical API,5,2559.5714285714284,356.42857142857156,2916,12.5,Buckingham Fountain,Spring
230,2024-08-18,2540,25.3,21.5,22.8,18.9,6.8,89,Open-Meteo Historical API,8,3569.5714285714284,-1029.5714285714284,2540,22.8,Shedd Aquarium,Summer
196,2024-07-15,3551,32.7,23.1,27.9,1.3,5.4,80,Open-Meteo Historical API,7,3518.5714285714284,32.42857142857156,3551,27.9,Navy Pier,Summer
175,2024-06-24,3243,27.3,22.0,25.2,0.0,10.3,54,Open-Meteo Historical API,6,3587.285714285714,-344.2857142857142,3243,25.2,Columbus Dr & Randolph St,Summer
202,2024-07-21,3222,31.5,19.9,25.9,0.1,5.9,64,Open-Meteo Historical API,7,3692.285714285714,-470.2857142857142,3222,25.9,Theater on the Lake,Summer
165,2024-06-14,3536,28.9,19.3,22.9,9.3,4.4,76,Open-Meteo Historical API,6,3593.5714285714284,-57.57142857142844,3536,22.9,Millennium Park,Summer
341,2024-12-07,2158,4.9,-2.4,1.0,0.0,4.0,56,Open-Meteo Historical API,12,2291.8571428571427,-133.85714285714266,2158,1.0,Canal St & Adams St,Winter
67,2024-03-08,2738,12.7,0.6,5.9,0.0,6.0,67,Open-Meteo Historical API,3,1763.0,975.0,2738,5.9,Michigan Ave & Oak St,Spring
140,2024-05-20,3315,25.0,10.4,16.2,0.0,5.4,82,Open-Meteo Historical API,5,3642.571428571429,-327.57142857142844,3315,16.2,Millennium Park,Spring
141,2024-05-21,3843,26.0,12.4,18.3,0.0,4.8,83,Open-Meteo Historical API,5,3666.714285714286,176.28571428571422,3843,18.3,Millennium Park,Spring
290,2024-10-17,3607,15.2,2.8,9.4,0.0,6.2,57,Open-Meteo Historical API,10,3560.1428571428573,46.85714285714266,3607,9.4,Clinton St & Madison St,Fall
114,2024-04-24,3092,21.2,8.4,13.2,1.4,8.3,58,Open-Meteo Historical API,4,2841.285714285714,250.71428571428575,3092,13.2,Clinton St & Madison St,Spring
144,2024-05-24,3886,29.2,15.6,22.3,0.0,5.1,64,Open-Meteo Historical API,5,3313.8571428571427,572.1428571428573,3886,22.3,Buckingham Fountain,Spring
345,2024-12-11,1589,15.6,6.4,13.1,35.4,7.3,94,Open-Meteo Historical API,12,2106.4285714285716,-517.4285714285716,1589,13.1,Michigan Ave & Oak St,Winter
251,2024-09-08,3471,22.1,11.5,16.4,0.0,5.8,60,Open-Meteo Historical API,9,3938.428571428571,-467.4285714285715,3471,16.4,Michigan Ave & Oak St,Fall
270,2024-09-27,4280,22.3,18.8,20.5,0.7,4.0,81,Open-Meteo Historical API,9,3496.8571428571427,783.1428571428573,4280,20.5,Buckingham Fountain,Fall
217,2024-08-05,3645,32.0,20.4,26.7,0.0,5.6,70,Open-Meteo Historical API,8,2898.5714285714284,746.4285714285716,3645,26.7,Millennium Park,Summer
183,2024-07-02,3743,28.8,16.0,22.5,0.0,4.5,54,Open-Meteo Historical API,7,3475.714285714286,267.2857142857142,3743,22.5,Navy Pier,Summer
41,2024-02-11,2077,9.1,3.7,6.9,0.0,4.1,73,Open-Meteo Historical API,2,2054.5714285714284,22.42857142857156,2077,6.9,Michigan Ave & Oak St,Winter
295,2024-10-22,4010,27.5,12.1,18.8,0.0,3.6,65,Open-Meteo Historical API,10,3836.857142857142,173.14285714285734,4010,18.8,Michigan Ave & Oak St,Fall
298,2024-10-25,4125,17.9,6.3,11.8,0.0,4.2,57,Open-Meteo Historical API,10,3724.571428571429,400.4285714285715,4125,11.8,Columbus Dr & Randolph St,Fall
248,2024-09-05,4039,25.6,12.6,19.2,0.0,3.9,68,Open-Meteo Historical API,9,3671.0,368.0,4039,19.2,Theater on the Lake,Fall
53,2024-02-23,2160,7.9,2.6,4.8,3.7,3.6,92,Open-Meteo Historical API,2,1929.0,231.0,2160,4.8,Theater on the Lake,Winter
59,2024-02-29,2101,6.4,-2.6,0.8,0.2,9.4,44,Open-Meteo Historical API,2,1995.2857142857144,105.71428571428578,2101,0.8,Millennium Park,Winter
36,2024-02-06,2223,5.7,-4.6,-0.3,0.0,4.6,54,Open-Meteo Historical API,2,2167.5714285714284,55.42857142857156,2223,-0.3,Theater on the Lake,Winter
191,2024-07-10,3891,31.2,24.6,27.4,0.1,10.2,77,Open-Meteo Historical API,7,3494.714285714286,396.2857142857142,3891,27.4,Streeter Dr & Grand Ave,Summer
257,2024-09-14,4215,29.4,15.4,22.0,0.0,4.6,74,Open-Meteo Historical API,9,4171.142857142857,43.85714285714312,4215,22.0,Navy Pier,Fall
48,2024-02-18,1139,3.6,-6.2,-2.1,0.0,7.3,60,Open-Meteo Historical API,2,1662.428571428571,-523.4285714285713,1139,-2.1,Clinton St & Madison St,Winter
143,2024-05-23,3670,27.2,18.9,22.6,2.9,4.5,76,Open-Meteo Historical API,5,3568.8571428571427,101.14285714285734,3670,22.6,Michigan Ave & Oak St,Spring
6,2024-01-07,1040,3.0,-0.5,1.7,8.4,8.0,91,Open-Meteo Historical API,1,1656.857142857143,-616.8571428571429,1040,1.7,Michigan Ave & Oak St,Winter
97,2024-04-07,2327,13.5,1.8,7.0,0.0,6.6,61,Open-Meteo Historical API,4,2609.714285714286,-282.7142857142858,2327,7.0,Buckingham Fountain,Spring
222,2024-08-10,3873,29.4,22.2,25.4,5.6,5.2,72,Open-Meteo Historical API,8,3191.5714285714284,681.4285714285716,3873,25.4,Millennium Park,Summer
69,2024-03-10,1536,11.0,2.3,7.4,21.9,8.4,71,Open-Meteo Historical API,3,2180.285714285714,-644.2857142857142,1536,7.4,Streeter Dr & Grand Ave,Spring
83,2024-03-24,1661,8.3,-2.2,2.5,0.0,8.8,44,Open-Meteo Historical API,3,1943.7142857142856,-282.7142857142858,1661,2.5,Michigan Ave & Oak St,Spring
364,2024-12-30,1950,13.3,8.1,11.6,4.2,7.3,77,Open-Meteo Historical API,12,1391.4,558.5999999999999,1950,11.6,Clinton St & Madison St,Winter
176,2024-06-25,3969,33.5,20.1,26.0,0.0,8.2,43,Open-Meteo Historical API,6,3611.428571428571,357.57142857142844,3969,26.0,Buckingham Fountain,Summer
49,2024-02-19,1526,4.1,-3.7,-0.1,0.0,5.8,49,Open-Meteo Historical API,2,1667.0,-141.0,1526,-0.1,Shedd Aquarium,Winter
190,2024-07-09,3774,31.4,22.2,26.7,0.1,6.6,82,Open-Meteo Historical API,7,3419.1428571428573,354.85714285714266,3774,26.7,Millennium Park,Summer
220,2024-08-08,2413,23.1,18.6,20.8,20.3,6.2,88,Open-Meteo Historical API,8,3035.285714285714,-622.2857142857142,2413,20.8,Theater on the Lake,Summer
300,2024-10-27,2687,14.7,3.7,9.5,0.0,5.1,49,Open-Meteo Historical API,10,3697.0,-1010.0,2687,9.5,Millennium Park,Fall
296,2024-10-23,4042,23.4,10.7,17.2,0.0,6.2,75,Open-Meteo Historical API,10,3845.428571428571,196.57142857142844,4042,17.2,Shedd Aquarium,Fall
136,2024-05-16,2704,18.8,14.9,16.5,4.2,8.4,86,Open-Meteo Historical API,5,3032.4285714285716,-328.42857142857156,2704,16.5,Columbus Dr & Randolph St,Spring
194,2024-07-13,3180,30.1,22.0,25.0,32.0,4.7,84,Open-Meteo Historical API,7,3546.714285714286,-366.7142857142858,3180,25.0,Navy Pier,Summer
288,2024-10-15,3541,14.8,5.3,9.7,0.0,5.6,57,Open-Meteo Historical API,10,3543.5714285714284,-2.5714285714284415,3541,9.7,Clinton St & Madison St,Fall
227,2024-08-15,3948,30.6,17.1,24.2,0.0,3.0,64,Open-Meteo Historical API,8,3599.5714285714284,348.42857142857156,3948,24.2,Shedd Aquarium,Summer
122,2024-05-02,3538,27.1,9.1,17.5,0.0,6.2,71,Open-Meteo Historical API,5,2894.0,644.0,3538,17.5,Michigan Ave & Oak St,Spring
0,2024-01-01,1157,7.5,-0.7,3.2,0.1,3.9,76,Open-Meteo Historical API,1,1795.5,-638.5,1157,3.2,Columbus Dr & Randolph St,Winter
125,2024-05-05,1129,12.5,9.1,10.6,8.3,5.9,87,Open-Meteo Historical API,5,2988.8571428571427,-1859.857142857143,1129,10.6,Clinton St & Madison St,Spring
348,2024-12-14,1984,0.8,-5.1,-2.4,0.0,2.3,53,Open-Meteo Historical API,12,2021.857142857143,-37.85714285714289,1984,-2.4,Shedd Aquarium,Winter
119,2024-04-29,2868,28.3,13.9,19.9,3.5,4.2,80,Open-Meteo Historical API,4,3136.8571428571427,-268.85714285714266,2868,19.9,Canal St & Adams St,Spring
265,2024-09-22,3704,24.4,13.7,18.6,0.0,5.0,67,Open-Meteo Historical API,9,4117.428571428572,-413.4285714285715,3704,18.6,Michigan Ave & Oak St,Fall
200,2024-07-19,4353,29.3,18.1,23.9,0.0,4.2,55,Open-Meteo Historical API,7,3696.142857142858,656.8571428571427,4353,23.9,Navy Pier,Summer
228,2024-08-16,4067,30.4,18.3,24.1,0.0,4.9,72,Open-Meteo Historical API,8,3580.8571428571427,486.14285714285734,4067,24.1,Navy Pier,Summer
106,2024-04-16,3032,20.4,6.2,13.7,0.0,5.1,53,Open-Meteo Historical API,4,2855.714285714286,176.28571428571422,3032,13.7,Millennium Park,Spring
308,2024-11-04,3154,14.4,2.4,8.9,0.0,5.2,71,Open-Meteo Historical API,11,3565.5714285714284,-411.5714285714285,3154,8.9,Canal St & Adams St,Fall
7,2024-01-08,2029,6.4,-2.4,1.7,0.0,5.0,70,Open-Meteo Historical API,1,1707.7142857142858,321.2857142857142,2029,1.7,Theater on the Lake,Winter
312,2024-11-08,3762,20.7,5.5,13.2,0.0,7.8,54,Open-Meteo Historical API,11,3361.5714285714284,400.4285714285715,3762,13.2,Navy Pier,Fall
76,2024-03-17,2289,15.5,6.7,10.7,0.0,8.3,59,Open-Meteo Historical API,3,2567.5714285714284,-278.57142857142844,2289,10.7,Canal St & Adams St,Spring
147,2024-05-27,1530,22.6,17.0,19.2,48.1,7.3,94,Open-Meteo Historical API,5,3185.8571428571427,-1655.857142857143,1530,19.2,Michigan Ave & Oak St,Spring
129,2024-05-09,3341,20.9,14.1,17.3,0.0,4.2,60,Open-Meteo Historical API,5,2905.8571428571427,435.14285714285734,3341,17.3,Canal St & Adams St,Spring
78,2024-03-19,2272,7.5,0.3,3.6,0.4,7.9,51,Open-Meteo Historical API,3,2300.8571428571427,-28.857142857142662,2272,3.6,Michigan Ave & Oak St,Spring
126,2024-05-06,2829,22.0,12.0,16.5,0.8,3.5,89,Open-Meteo Historical API,5,2960.714285714286,-131.71428571428578,2829,16.5,Shedd Aquarium,Spring
236,2024-08-24,3763,29.9,14.9,22.2,0.0,3.7,65,Open-Meteo Historical API,8,3701.428571428571,61.57142857142844,3763,22.2,Shedd Aquarium,Summer
256,2024-09-13,4628,27.9,13.5,20.1,0.0,4.0,75,Open-Meteo Historical API,9,4149.285714285715,478.7142857142853,4628,20.1,Navy Pier,Fall
159,2024-06-08,4467,25.2,15.3,20.4,0.0,7.3,56,Open-Meteo Historical API,6,3841.142857142858,625.8571428571427,4467,20.4,Shedd Aquarium,Summer
51,2024-02-21,2104,5.1,-5.6,-0.9,0.0,4.1,71,Open-Meteo Historical API,2,1805.0,299.0,2104,-0.9,Shedd Aquarium,Winter
189,2024-07-08,3447,32.8,23.5,27.0,0.0,4.4,78,Open-Meteo Historical API,7,3272.285714285714,174.71428571428578,3447,27.0,Shedd Aquarium,Summer
142,2024-05-22,4177,28.0,15.4,21.2,0.0,6.5,74,Open-Meteo Historical API,5,3662.714285714286,514.2857142857142,4177,21.2,Shedd Aquarium,Spring
198,2024-07-17,3507,31.9,23.4,27.1,25.7,5.3,79,Open-Meteo Historical API,7,3702.714285714286,-195.71428571428575,3507,27.1,Navy Pier,Summer
281,2024-10-08,3974,20.5,10.3,15.2,0.0,4.6,57,Open-Meteo Historical API,10,3952.142857142858,21.857142857142662,3974,15.2,Columbus Dr & Randolph St,Fall
206,2024-07-25,4045,30.6,20.4,24.9,0.1,5.0,72,Open-Meteo Historical API,7,3727.714285714286,317.2857142857142,4045,24.9,Buckingham Fountain,Summer
250,2024-09-07,3155,23.9,14.6,19.9,5.1,7.4,83,Open-Meteo Historical API,9,3881.285714285714,-726.2857142857142,3155,19.9,Millennium Park,Fall
187,2024-07-06,2651,32.1,22.5,27.2,1.4,4.9,80,Open-Meteo Historical API,7,3392.0,-741.0,2651,27.2,Theater on the Lake,Summer
68,2024-03-09,1038,7.8,3.2,5.2,26.8,8.8,84,Open-Meteo Historical API,3,1974.7142857142856,-936.7142857142858,1038,5.2,Canal St & Adams St,Spring
235,2024-08-23,3985,28.0,13.9,20.8,0.0,4.5,64,Open-Meteo Historical API,8,3711.571428571429,273.42857142857156,3985,20.8,Millennium Park,Summer
105,2024-04-15,3104,24.4,9.7,17.7,0.0,7.0,63,Open-Meteo Historical API,4,2788.8571428571427,315.14285714285734,3104,17.7,Canal St & Adams St,Spring
98,2024-04-08,2707,17.7,1.7,8.8,0.0,4.2,64,Open-Meteo Historical API,4,2567.0,140.0,2707,8.8,Canal St & Adams St,Spring
178,2024-06-27,3985,30.4,21.5,24.9,9.4,6.0,62,Open-Meteo Historical API,6,3559.8571428571427,425.14285714285734,3985,24.9,Michigan Ave & Oak St,Summer
203,2024-07-22,3420,28.4,21.0,24.8,3.3,5.9,77,Open-Meteo Historical API,7,3707.142857142858,-287.14285714285734,3420,24.8,Navy Pier,Summer
299,2024-10-26,3788,18.2,9.3,13.4,0.0,7.0,47,Open-Meteo Historical API,10,3680.857142857142,107.14285714285734,3788,13.4,Theater on the Lake,Fall
152,2024-06-01,4574,28.2,13.1,20.5,0.0,4.8,47,Open-Meteo Historical API,6,3835.285714285714,738.7142857142858,4574,20.5,Millennium Park,Summer
173,2024-06-22,3403,34.1,21.6,26.8,2.8,4.9,74,Open-Meteo Historical API,6,3637.0,-234.0,3403,26.8,Buckingham Fountain,Summer
